Mes,Name,TrProceso,TrAprobadas,TrAtrasadas,TrRechazadas,TrEnviadas,TrCanceladas,MntProceso,MntAprobadas,MntAtrasadas,MntRechazadas,MntEnviadas,MntCanceladas
2011-05,Australia,0,0,0,0,1.0,0,0.0,0.0,0.0,0.0,3756.989,0.0
2011-05,Canada,0,0,0,0,8.0,0,0.0,0.0,0.0,0.0,133887.7647,0.0
2011-05,Central,0,0,0,0,4.0,0,0.0,0.0,0.0,0.0,21664.310699999998,0.0
2011-05,France,0,0,0,0,1.0,0,0.0,0.0,0.0,0.0,3756.989,0.0
2011-05,Northeast,0,0,0,0,4.0,0,0.0,0.0,0.0,0.0,24319.788099999998,0.0
2011-05,Northwest,0,0,0,0,7.0,0,0.0,0.0,0.0,0.0,109490.7017,0.0
2011-05,Southeast,0,0,0,0,10.0,0,0.0,0.0,0.0,0.0,156696.7946,0.0
2011-05,Southwest,0,0,0,0,8.0,0,0.0,0.0,0.0,0.0,113447.612,0.0
2011-06,Australia,0,0,0,0,61.0,0,0.0,0.0,0.0,0.0,227909.4738,0.0
2011-06,Canada,0,0,0,0,5.0,1,0.0,0.0,0.0,0.0,19545.317600000002,772.5036
2011-06,France,0,0,0,0,12.0,0,0.0,0.0,0.0,0.0,40635.642400000004,0.0
2011-06,Germany,0,0,0,0,10.0,0,0.0,0.0,0.0,0.0,39342.884600000005,0.0
2011-06,Northwest,0,0,0,0,18.0,0,0.0,0.0,0.0,0.0,60981.0886,0.0
2011-06,Southwest,0,0,0,0,21.0,0,0.0,0.0,0.0,0.0,76473.7874,0.0
2011-06,United Kingdom,0,0,0,0,13.0,0,0.0,0.0,0.0,0.0,41435.771,0.0
2011-07,Australia,0,0,0,0,68.0,0,0.0,0.0,0.0,0.0,245904.8132,0.0
2011-07,Canada,0,0,0,0,30.0,0,0.0,0.0,0.0,0.0,388940.2996,0.0
2011-07,Central,0,0,0,0,8.0,0,0.0,0.0,0.0,0.0,284715.0216,0.0
2011-07,France,0,0,0,0,6.0,0,0.0,0.0,0.0,0.0,20120.8218,0.0
2011-07,Germany,0,0,0,0,13.0,0,0.0,0.0,0.0,0.0,45038.8796,0.0
2011-07,Northeast,0,0,0,0,8.0,0,0.0,0.0,0.0,0.0,80580.1708,0.0
2011-07,Northwest,0,0,0,0,27.0,0,0.0,0.0,0.0,0.0,382000.8027,0.0
2011-07,Southeast,0,0,0,0,10.0,0,0.0,0.0,0.0,0.0,340236.60949999996,0.0
2011-07,Southwest,0,0,0,0,43.0,1,0.0,0.0,0.0,0.0,440849.2644,3756.989
2011-07,United Kingdom,0,0,0,0,17.0,0,0.0,0.0,0.0,0.0,60039.210600000006,0.0
2011-08,Australia,0,0,0,0,52.0,1,0.0,0.0,0.0,0.0,192065.83500000002,3953.9884
2011-08,Canada,0,0,0,0,24.0,0,0.0,0.0,0.0,0.0,515950.1135,0.0
2011-08,Central,0,0,0,0,13.0,0,0.0,0.0,0.0,0.0,149450.9539,0.0
2011-08,France,0,0,0,0,12.0,0,0.0,0.0,0.0,0.0,40860.266800000005,0.0
2011-08,Germany,0,0,0,0,7.0,0,0.0,0.0,0.0,0.0,24496.434,0.0
2011-08,Northeast,0,0,0,0,12.0,0,0.0,0.0,0.0,0.0,213412.41700000002,0.0
2011-08,Northwest,0,0,0,0,26.0,0,0.0,0.0,0.0,0.0,498284.263,0.0
2011-08,Southeast,0,0,0,0,19.0,0,0.0,0.0,0.0,0.0,347672.83900000004,0.0
2011-08,Southwest,0,0,0,0,62.0,0,0.0,0.0,0.0,0.0,740982.8787,0.0
2011-08,United Kingdom,0,0,0,0,22.0,0,0.0,0.0,0.0,0.0,73446.183,0.0
2011-09,Australia,0,0,0,0,63.0,1,0.0,0.0,0.0,0.0,233171.714,3953.9884
2011-09,Canada,0,0,0,0,5.0,0,0.0,0.0,0.0,0.0,13182.348,0.0
2011-09,France,0,0,0,0,3.0,0,0.0,0.0,0.0,0.0,11861.9652,0.0
2011-09,Germany,0,0,0,0,13.0,0,0.0,0.0,0.0,0.0,44392.6314,0.0
2011-09,Northwest,0,0,0,0,19.0,0,0.0,0.0,0.0,0.0,65159.701400000005,0.0
2011-09,Southwest,0,0,0,0,36.0,0,0.0,0.0,0.0,0.0,125789.9102,0.0
2011-09,United Kingdom,0,0,0,0,17.0,0,0.0,0.0,0.0,0.0,57279.3496,0.0
2011-10,Australia,0,0,0,0,65.0,0,0.0,0.0,0.0,0.0,240488.6926,0.0
2011-10,Canada,0,0,0,0,43.0,0,0.0,0.0,0.0,0.0,754368.8119,0.0
2011-10,Central,0,0,0,0,20.0,0,0.0,0.0,0.0,0.0,615507.9521,0.0
2011-10,France,0,0,0,0,13.0,0,0.0,0.0,0.0,0.0,44617.2558,0.0
2011-10,Germany,0,0,0,0,14.0,0,0.0,0.0,0.0,0.0,47952.621,0.0
2011-10,Northeast,0,0,0,0,16.0,0,0.0,0.0,0.0,0.0,321959.3717,0.0
2011-10,Northwest,0,0,0,0,49.0,1,0.0,0.0,0.0,0.0,1109680.6478,772.5036
2011-10,Southeast,0,0,0,0,23.0,0,0.0,0.0,0.0,0.0,787533.0114,0.0
2011-10,Southwest,0,0,0,0,73.0,0,0.0,0.0,0.0,0.0,1203590.231,0.0
2011-10,United Kingdom,0,0,0,0,10.0,0,0.0,0.0,0.0,0.0,29798.430200000003,0.0
2011-11,Australia,0,0,0,0,82.0,0,0.0,0.0,0.0,0.0,295291.68,0.0
2011-11,Canada,0,0,0,0,11.0,0,0.0,0.0,0.0,0.0,40087.7632,0.0
2011-11,France,0,0,0,0,12.0,0,0.0,0.0,0.0,0.0,37678.782,0.0
2011-11,Germany,0,0,0,0,19.0,0,0.0,0.0,0.0,0.0,61528.9678,0.0
2011-11,Northwest,0,0,0,0,36.0,1,0.0,0.0,0.0,0.0,131758.881,3756.989
2011-11,Southwest,0,0,0,0,52.0,0,0.0,0.0,0.0,0.0,185001.3672,0.0
2011-11,United Kingdom,0,0,0,0,17.0,0,0.0,0.0,0.0,0.0,60208.585,0.0
2011-12,Australia,0,0,0,0,69.0,0,0.0,0.0,0.0,0.0,246535.5674,0.0
2011-12,Canada,0,0,0,0,22.0,0,0.0,0.0,0.0,0.0,240170.95070000002,0.0
2011-12,Central,0,0,0,0,5.0,0,0.0,0.0,0.0,0.0,55307.511399999996,0.0
2011-12,France,0,0,0,0,11.0,0,0.0,0.0,0.0,0.0,36736.904,0.0
2011-12,Germany,0,0,0,0,5.0,0,0.0,0.0,0.0,0.0,10028.4882,0.0
2011-12,Northeast,0,0,0,0,4.0,0,0.0,0.0,0.0,0.0,65400.4476,0.0
2011-12,Northwest,0,0,0,0,40.0,0,0.0,0.0,0.0,0.0,259058.2472,0.0
2011-12,Southeast,0,0,0,0,8.0,0,0.0,0.0,0.0,0.0,215605.3235,0.0
2011-12,Southwest,0,0,0,0,42.0,1,0.0,0.0,0.0,0.0,254048.5554,772.5036
2011-12,United Kingdom,0,0,0,0,21.0,0,0.0,0.0,0.0,0.0,78784.3996,0.0
2012-01,Australia,0,0,0,0,59.0,0,0.0,0.0,0.0,0.0,209974.67500000002,0.0
2012-01,Canada,0,0,0,0,77.0,0,0.0,0.0,0.0,0.0,871163.4814,0.0
2012-01,Central,0,0,0,0,15.0,0,0.0,0.0,0.0,0.0,469301.6672,0.0
2012-01,France,0,0,0,0,11.0,1,0.0,0.0,0.0,0.0,33500.169200000004,3953.9884
2012-01,Germany,0,0,0,0,16.0,0,0.0,0.0,0.0,0.0,56676.220400000006,0.0
2012-01,Northeast,0,0,0,0,16.0,0,0.0,0.0,0.0,0.0,258034.64979999998,0.0
2012-01,Northwest,0,0,0,0,43.0,0,0.0,0.0,0.0,0.0,882585.5744,0.0
2012-01,Southeast,0,0,0,0,23.0,0,0.0,0.0,0.0,0.0,539891.587,0.0
2012-01,Southwest,0,0,0,0,58.0,0,0.0,0.0,0.0,0.0,1076397.7057999999,0.0
2012-01,United Kingdom,0,0,0,0,17.0,0,0.0,0.0,0.0,0.0,56857.7258,0.0
2012-02,Australia,0,0,0,0,64.0,0,0.0,0.0,0.0,0.0,233156.22,0.0
2012-02,Canada,0,0,0,0,15.0,1,0.0,0.0,0.0,0.0,288296.151,3953.9884
2012-02,Central,0,0,0,0,5.0,0,0.0,0.0,0.0,0.0,108503.328,0.0
2012-02,France,0,0,0,0,15.0,0,0.0,0.0,0.0,0.0,42531.5294,0.0
2012-02,Germany,0,0,0,0,18.0,0,0.0,0.0,0.0,0.0,67541.0576,0.0
2012-02,Northeast,0,0,0,0,4.0,0,0.0,0.0,0.0,0.0,72290.7532,0.0
2012-02,Northwest,0,0,0,0,24.0,0,0.0,0.0,0.0,0.0,202967.399,0.0
2012-02,Southeast,0,0,0,0,8.0,0,0.0,0.0,0.0,0.0,277432.2305,0.0
2012-02,Southwest,0,0,0,0,56.0,0,0.0,0.0,0.0,0.0,317214.9712,0.0
2012-02,United Kingdom,0,0,0,0,9.0,0,0.0,0.0,0.0,0.0,35164.2718,0.0
2012-03,Australia,0,0,0,0,70.0,0,0.0,0.0,0.0,0.0,255926.4028,0.0
2012-03,Canada,0,0,0,0,41.0,2,0.0,0.0,0.0,0.0,453900.6586,58122.7291
2012-03,Central,0,0,0,0,7.0,3,0.0,0.0,0.0,0.0,231300.77240000002,147650.9308
2012-03,France,0,0,0,0,13.0,0,0.0,0.0,0.0,0.0,45038.8796,0.0
